t1_totalgold,t2_totalgold,t1_barons,t2_barons,t1_dragons,t2_dragons,t1_heralds,t2_heralds,t1_towers,t2_towers,t1_inhibitors,t2_inhibitors,t1_kills,t2_kills,t1_totalcs,t2_totalcs
41929,53470,0,1,1,3,0,1,1,1,0,0,4,12,897,968
67348,53470,1,0,4,1,0,0,11,11,3,3,23,10,1110,1038
39830,53514,0,1,1,2,0,1,0,0,0,0,7,14,802,945
41090,53516,0,1,0,3,1,0,3,8,0,1,6,23,784,827
69276,53541,2,0,4,0,1,0,11,11,4,4,20,5,1157,1112
66150,53561,2,0,3,2,1,0,11,2,3,0,23,10,1072,1022
36745,53570,0,1,1,2,0,1,0,0,0,0,1,17,803,971
65726,53660,1,0,4,1,1,0,9,9,1,1,21,9,1165,1073
36260,53671,0,0,0,2,0,0,0,0,0,0,6,24,683,830
40193,53673,0,1,1,3,0,1,1,1,0,0,4,14,824,931
39188,53699,0,1,0,3,0,1,2,2,0,0,7,24,742,815
61548,53705,1,0,3,2,1,0,9,9,2,2,18,7,1086,1077
43354,53717,0,1,1,3,1,0,3,3,0,0,3,18,865,937
68957,53750,2,0,4,0,0,0,11,11,3,3,23,11,1089,1000
48188,53779,0,1,0,4,1,0,5,5,0,0,6,13,925,959
44902,53781,0,1,2,2,0,1,1,1,0,0,8,20,831,870
67402,53799,1,0,4,1,1,0,10,10,2,2,20,8,1167,1113
48667,53820,0,0,1,3,0,0,4,4,0,0,2,13,992,975
45146,53829,0,0,0,4,0,0,3,3,0,0,6,15,909,964
41579,53833,0,1,1,3,1,0,3,3,0,0,1,12,872,952
60943,53837,1,0,2,3,1,0,9,4,2,0,8,7,1135,1045
62362,53886,1,0,1,4,1,0,8,8,1,1,14,12,1001,1000
61984,53887,0,1,4,1,1,0,10,10,2,2,22,7,1103,1006
46769,53908,0,1,0,4,1,0,7,7,1,1,6,16,843,895
56617,53912,0,1,2,3,1,0,7,7,1,1,14,11,1093,1047
42339,53915,0,1,0,3,0,1,0,0,0,0,4,12,901,1017
44733,53921,0,0,0,4,1,0,1,1,0,0,8,16,836,971
40068,53980,0,1,2,2,1,0,3,9,0,1,4,16,771,891
63736,53990,1,0,5,0,0,1,9,9,3,3,22,13,949,993
41955,54001,0,1,2,2,0,1,1,9,0,1,6,16,841,911
65862,54010,2,0,3,2,1,0,10,10,3,3,22,4,1123,1092
62176,54016,2,0,5,0,1,0,10,10,2,2,12,4,1047,1091
43422,54038,0,1,0,4,1,0,1,1,0,0,5,19,850,944
43234,54105,0,1,0,4,0,1,3,10,0,2,6,21,825,865
68771,54111,2,0,2,2,1,0,11,11,3,3,26,15,1030,981
49418,54125,0,1,1,4,1,0,3,3,0,0,6,9,967,966
45699,54130,0,1,2,3,0,1,3,3,0,0,6,11,855,935
44243,54157,0,1,1,3,0,1,3,8,0,1,4,13,898,986
59040,54166,2,0,2,2,0,0,10,10,2,2,12,17,979,970
69257,54174,2,0,5,0,1,0,10,1,2,0,14,6,1231,1123
46889,54184,1,0,1,3,1,0,2,2,0,0,0,7,937,1057
